,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
3,JavaScript,深圳市盈创丰茂科技有限公司,8k-14k,深圳,少于15人,1-3年,不限,"移动互联网,企业服务",2018-03-11
4,JavaScript高级工程师（EasyEDA）,深圳市立创电子商务有限公司,15k-25k,深圳,150-500人,1-3年,本科,"电子商务,硬件",2018-03-13
5,cocos-js/html5 游戏开发工程师,北京火舞科技有限公司,15k-25k,北京,15-50人,1-3年,大专,游戏,2018-03-12
6,JavaScript,世界货科技（深圳）有限公司,5k-10k,东莞,少于15人,不限,大专,"电子商务,移动互联网",2018-02-22
7,Cocos2d-JS开发工程师,洛克人（北京）智能科技有限公司,10k-20k,北京,15-50人,1-3年,不限,移动互联网、企业服务,2018-03-12
8,JavaScript资深工程师/技术经理,北京沃丰时代数据科技有限公司,20k-40k,北京,150-500人,5-10年,本科,其他,2018-03-13
9,javascript工程师,北京北工宏大微电子科技有限公司,7k-13k,北京,少于15人,1-3年,本科,移动互联网,2018-03-11
10,JavaScript开发工程师,央视国际视频通讯有限公司,10k-20k,北京,150-500人,3-5年,本科,文化娱乐,2018-03-05
11,JavaScript开发工程师,北京天机数测数据科技有限公司,10k-20k,北京,50-150人,3-5年,大专,"移动互联网,数据服务",2018-03-07
12,前端Html/JS工程师,成都兴隆卓果科技有限公司,4k-8k,成都,15-50人,1-3年,大专,"移动互联网,企业服务",2018-03-13
13,开发主管 JavaScript/Node.js,厦门铃盛软件有限公司,25k-35k,厦门,500-2000人,5-10年,本科,"移动互联网,数据服务",2018-03-13
14,JavaScript 工程师,快乐迭代（北京）网络科技有限公司,15k-30k,北京,15-50人,3-5年,本科,"移动互联网,社交网络",2018-03-12
0,JavaScript 工程师,快乐迭代（北京）网络科技有限公司,15k-30k,北京,15-50人,3-5年,本科,"移动互联网,社交网络",2018-03-12
1,javascript开发工程师,重庆云车流科技有限公司,5K-10K,重庆,50-150人,1-3年,不限,电子商务 O2O,2018-03-09
2,JavaScript,天津市正标津达线缆有限公司,6K-10K,天津,500-2000人,1-3年,本科,其他,2018-03-08
3,EasyEDA JavaScript高级工程师,深圳市立创电子商务有限公司,15k-25k,深圳,150-500人,1-3年,本科,"电子商务,硬件",2018-03-12
4,JavaScript,天津昊天伟业电子科技有限公司,6k-10k,天津,15-50人,1-3年,本科,"硬件,企业服务",2018-02-26
5,JS开发工程师,易图通科技（北京）有限公司,10k-18k,北京,500-2000人,1-3年,本科,"数据服务,其他",2018-02-28
6,h5、js、脚本开发、广告发布平台,上海传漾广告有限公司,10k-15k,北京,150-500人,3-5年,本科,"移动互联网,数据服务",2018-03-12
7,cocos2dx-js游戏开发工程师,广州大思教育科技发展有限公司,10k-12k,广州,150-500人,3-5年,本科,"移动互联网,教育",2018-03-13
8,js讲师,北京八维研修学院,15K-20K,北京,2000人以上,1-3年,本科,教育,2018-03-13
9,cocos2d-x-js/白鹭引擎客户端,广州轩意网络科技有限公司,10k-20k,广州,50-150人,不限,大专,游戏,2018-03-12
10,JavaScript/Vue,北京毫末科技有限公司,15K-25K,北京,50-150人,1-3年,本科,"移动互联网,企业服务",2018-03-10
11,JavaScript,携程计算机技术（上海）有限公司,15k-25k,上海,2000人以上,3-5年,本科,"移动互联网,旅游",2018-03-11
12,高级JavaScript开发工程师,上海拿米金融信息服务有限公司,15k-25k,上海,150-500人,3-5年,大专,"移动互联网,金融",2018-03-12
13,移动JS高级研发工程师,中企动力科技股份有限公司,25k-50k,北京,2000人以上,5-10年,本科,"电子商务,移动互联网",2018-03-12
14,JavaScript工程师,武汉研众科技有限公司,4k-8k,武汉,少于15人,1-3年,本科,"移动互联网,O2O",2018-03-07
0,javascript,苏州乐动时代网络科技有限公司,7k-10k,苏州,50-150人,1-3年,大专,游戏,2018-03-12
1,高级JavaScript工程师,上海拿米金融信息服务有限公司,15k-25k,上海,150-500人,3-5年,大专,"移动互联网,金融",2018-03-13
2,JS开发工程师,易图通科技（北京）有限公司,10k-16k,北京,500-2000人,1-3年,本科,"数据服务,其他",2018-03-05
3,Javascript实习工程师,北京百分点信息科技有限公司,2k-3k,沈阳,500-2000人,不限,本科,数据服务,2018-02-26
4,软件工程师-JavaScript,上海木蚁机器人科技有限公司,7k-14k,上海,15-50人,1-3年,本科,硬件,2018-03-12
5,js开发工程师,厦门玩美网络科技有限公司,8k-15k,厦门,15-50人,1-3年,大专,"游戏,移动互联网",2018-03-09
6,JS 开发工程师,杭州爱跑体育文化策划有限公司,7K-14K,杭州,少于15人,1-3年,本科,医疗健康,2018-03-05
7,JS开发工程师,杭州朗熙和科技有限公司,20k-40k,杭州,少于15人,3-5年,本科,"移动互联网,金融",2018-03-01
8,COCOS2D - js,安徽自善互联网科技有限公司,8k-16k,杭州,50-150人,1-3年,不限,"移动互联网,O2O",2018-03-05
9,资深JS算法工程师,北京乐步教育科技有限公司,15k-30k,北京,50-150人,3-5年,本科,教育,2018-03-13
10,JavaScript高级开发工程师,北京乐学一百在线教育科技有限公司,15k-25k,北京,150-500人,3-5年,本科,"移动互联网,教育",2018-03-11
11,高级JavaScript工程师,商宴通（上海）网络科技有限公司,15k-25k,上海,150-500人,3-5年,本科,"企业服务,O2O",2018-03-05
12,H5/Cocos2d-JS游戏开发工程师,武汉市多比特信息科技有限公司,10k-20k,武汉,50-150人,1-3年,本科,"移动互联网,文化娱乐",2018-03-12
13,JavaScript开发工程师,闪电（深圳）智能有限公司,6k-12k,成都,15-50人,1-3年,大专,硬件,2018-02-26
14,Web Javascript高级软件开发工程师,软视软件（苏州）有限公司,10k-20k,苏州,50-150人,3-5年,本科,"数据服务,移动互联网",2018-03-12
