,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
0,Python后端开发工程师,北京完美创意科技有限公司,10k-20k,北京,150-500人,1-3年,本科,"移动互联网,O2O",2018-03-13
1,Python 研发工程师,深圳市魔方安全科技有限公司,7k-12k,深圳,15-50人,不限,不限,信息安全,2018-03-12
2,架构师 Python,上海飓色贸易有限公司,25K-35K,上海,50-150人,5-10年,本科,"移动互联网,电子商务",2018-03-13
3,Python开发工程师,拉扎斯网络科技（上海）有限公司,13k-26k,上海,2000人以上,1-3年,本科,移动互联网,2018-03-12
4,Python工程师（北京）,零氪信息技术（北京）有限公司,15k-25k,北京,150-500人,不限,本科,"医疗健康,数据服务",2018-03-08
5,Python研发工程师,杭州周边搜科技有限公司,13k-20k,杭州,50-150人,不限,大专,"移动互联网,O2O",2018-03-08
6,Python后端开发工程师,北京墨云科技有限公司,15k-30k,北京,15-50人,3-5年,本科,信息安全,2018-03-07
7,Python工程师,杭州西柚科技有限公司,7k-14k,杭州,50-150人,不限,本科,移动互联网,2018-03-05
8,Python工程师,深圳微自然创新科技有限公司,10k-16k,深圳,500-2000人,1-3年,本科,"移动互联网,数据服务",2018-03-09
9,Python,武汉研众科技有限公司,5k-10k,武汉,少于15人,1-3年,本科,"移动互联网,O2O",2018-03-07
10,python架构师,北京斯多葛科技有限公司,30k-50k,北京,50-150人,5-10年,本科,"移动互联网,O2O",2018-03-13
11,python研发工程师（抓取平台开发方向）,北京智融时代科技有限公司,20k-40k,北京,150-500人,3-5年,本科,金融,2018-03-09
12,Python,杭州神中科技有限公司,8k-15k,杭州,50-150人,1-3年,本科,"移动互联网,医疗健康",2018-03-09
13,python开发,西安图迹信息科技有限公司北京分公司,5k-8k,西安,50-150人,1-3年,大专,"移动互联网,数据服务",2018-03-06
14,python开发工程师,云至科技成都有限责任公司,15k-20k,成都,50-150人,3-5年,本科,"移动互联网,文化娱乐",2018-03-13
0,Python研发工程师（天津）,零氪信息技术（北京）有限公司,10k-20k,天津,150-500人,1-3年,本科,"医疗健康,数据服务",2018-03-08
1,Python研发工程师,北京云端智度科技有限公司,10k-20k,北京,15-50人,1-3年,大专,"移动互联网,其他",2018-03-08
2,python开发工程师,深圳市掌世界网络科技有限公司,5k-10k,深圳,150-500人,1-3年,大专,移动互联网,2018-03-08
3,python研发工程师,南京厚建软件有限责任公司,6k-10k,南京,150-500人,1-3年,本科,"移动互联网,文化娱乐",2018-03-06
4,Python讲师,北京八维研修学院,15K-25K,北京,2000人以上,1-3年,本科,教育,2018-03-01
5,python开发工程师,上海漕河泾开发区软件园职业培训中心,25k-30k,上海,500-2000人,3-5年,本科,"移动互联网,数据服务",2018-02-24
6,Python开发学徒,环球华信（北京）科技发展有限公司西安分公司,4k-8k,西安,15-50人,1年以下,大专,"企业服务,硬件",2018-03-12
7,python后台开发工程师,号朋运动科技(深圳)有限公司,20k-25k,深圳,15-50人,1-3年,本科,"移动互联网,医疗健康",2018-03-10
8,python高级开发工程师,深圳网脊科技开发有限公司,15k-20k,深圳,15-50人,5-10年,大专,"移动互联网,企业服务",2018-03-05
9,Python开发工程师,金蝶软件（中国）有限公司,10k-20k,深圳,2000人以上,3-5年,本科,"移动互联网,电子商务",2018-03-13
10,Python教员/讲师,上海海同优才教育培训有限责任公司,10k-20k,上海,150-500人,3-5年,本科,"其他,教育",2018-03-12
11,高级Python研发工程师（机器学习业务方向）,北京京东世纪贸易有限公司,20k-40k,北京,2000人以上,不限,本科,电子商务,2018-03-12
12,Python后端开发工程师,上海数巧信息科技有限公司,15k-20k,上海,少于15人,3-5年,本科,企业服务,2018-03-11
13,运维工程师-Python,厦门睿客科技,6k-10k,厦门,150-500人,3-5年,不限,移动互联网,2018-02-28
14,Python后端工程师,上海珩灵智能科技有限公司,15k-20k,上海,15-50人,3-5年,本科,移动互联网,2018-02-23
0,Python后端工程师,上海珩灵智能科技有限公司,15k-20k,上海,15-50人,3-5年,本科,移动互联网,2018-02-23
1,Python工程师,上海文强通讯器材有限公司,20k-35k,北京,2000人以上,1-3年,不限,"移动互联网,数据服务",2018-03-12
2,Python开发工程师,广州登风网络开发有限公司,4k-6k,广州,150-500人,1年以下,大专,"移动互联网,游戏",2018-03-13
3,Python研发工程师,独到科技（北京）有限公司,9K-18K,北京,15-50人,1-3年,本科,"企业服务,数据服务",2018-03-13
4,python后台开发工程师（分布式计算开发）,北京源石智影科技有限公司,20k-40k,北京,50-150人,5-10年,本科,"移动互联网,数据服务",2018-03-13
5,Python开发工程师,北京趣活科技有限公司,10k-20k,北京,2000人以上,1-3年,不限,"移动互联网,O2O",2018-03-12
6,人工智能工程师（Python）,深圳市铱硙医疗科技有限公司,10k-20k,深圳,15-50人,1-3年,本科,"医疗健康,数据服务",2018-03-12
7,Python开发工程师,杭州云霁科技有限公司,10k-20k,杭州,50-150人,1-3年,本科,企业服务,2018-03-06
8,高级Python web开发,易思互动（北京）科技有限公司,15k-30k,北京,50-150人,3-5年,本科,"金融,医疗健康",2018-03-13
9,Python游戏服务端开发工程师,深圳市掌中酷柚科技有限公司,10k-20k,深圳,50-150人,3-5年,不限,"移动互联网,游戏",2018-03-12
10,代码编程老师（Python）,深圳市编玩边学教育科技有限公司,8k-15k,深圳,50-150人,不限,本科,"教育,游戏",2018-03-10
11,Python后端工程师,北京青橙信息技术有限公司,15k-25k,北京,50-150人,1-3年,本科,"企业服务,医疗健康",2018-03-13
